entry,gid,monumentna,descriptio,location,district,state,asicircle,photo,mon_num,pb_name,lat,long
0,12067,Shikargah Kusak,Shikargah Kusak,Teen Murti Bhawan,New Delhi,Delhi,Delhi Mini Circle,DLMDL135.jpg,DLMDL135,DLM135,28.603323384000085,77.19815092500005
1,12068,Unknown Tomb in the vicinitty of Jawahar Lal Nehru Stadium,Unknown Tomb in the vicinitty of Jawahar Lal Nehru Stadium,"Pragati Vihar, New Delhi",South,Delhi,Delhi Mini Circle,DLMDL174.jpg,DLMDL174,DLM174,28.581329616000062,77.23130927100004
2,12069,Jantar Mantar,Jantar Mantar,Cannought Place,New Delhi,Delhi,Delhi Mini Circle,DLMDL023.jpg,DLMDL023,DLM023,28.62747327800001,77.21670118200007
3,11299,"Humayun's tomb, its platforms","Humayun's tomb, its platforms",Nizamuddin,South East,Delhi,Delhi Circle,DELDL127A.JPG,DELDL127A,DL127A,28.593306122713408,77.25072555380234
4,11300,"Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No","Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No",Nizamuddin,South East,Delhi,Delhi Circle,DELDL127B.JPG,DELDL127B,DL127B,28.592463461960342,77.24711791245332
5,11301,"Unnamed tomb, Mohammad Pur Village","Unnamed tomb, Mohammad Pur Village",Mohammad Pur Village,South,Delhi,Delhi Circle,DELDL110.JPG,DELDL110,DL110,28.565006938000074,77.18788421100004
6,11302,Tomb of Khan-i-Khana,Tomb of Khan-i-Khana,Nizamuddin,South East,Delhi,Delhi Circle,DELDL133.JPG,DELDL133,DL133,28.58803888900008,77.24792839500003
7,11303,Sat pula,Sat pula,Khirki Village near Malviya Nagar,South,Delhi,Delhi Circle,DELDL087.JPG,DELDL087,DL087,28.531588369000076,77.22323365700004
8,11304,"Walls, gate and bastions of Adilabad (Mohammadabad) and causeway leading there to from Tughlakabad.","Walls, gate and bastions of Adilabad (Mohammadabad) and causeway leading there to from Tughlakabad.",Tughlaqabad,South East,Delhi,Delhi Circle,DELDL145.JPG,DELDL145,DL145,28.505062440000074,77.26732372400005
9,11305,Mosque attached to Mubarak shah Tomb,Mosque attached to Mubarak shah Tomb,Kotla Mubrakpur Village,South,Delhi,Delhi Circle,DELDL107.JPG,DELDL107,DL107,28.57231920900005,77.22225163000007
10,11306,Sakri Gumti-284,Sakri Gumti-284,Hauz Khas  Enclave near Green Park,South,Delhi,Delhi Circle,DELDL085.JPG,DELDL085,DL085,28.55339001200008,77.20135170300006
11,11307,"Tomb of Mubarik Shah in Mubarikpur, Kotla","Tomb of Mubarik Shah in Mubarikpur, Kotla",Kotla Mubrakpur Village,South,Delhi,Delhi Circle,DELDL106.JPG,DELDL106,DL106,28.572672401000034,77.22297780900004
12,11308,"Salimgarh Fort, comprising the main gate on North, Ancient structure near the main gate and the entire fortification wall","Salimgarh Fort, comprising the main gate on North, Ancient structure near the main gate and the entire fortification wall",Red Fort,Central,Delhi,Delhi Circle,DELDL168.JPG,DELDL168,DL168,28.660571566000037,77.24338998300004
13,11309,Lakhar wala Gumbad (Tomb),Lakhar wala Gumbad (Tomb),Near HumayunΓÇÖs Tomb,South East,Delhi,Delhi Circle,DELDL068.JPG,DELDL068,DL068,28.597956155000084,77.24395766200007
14,11310,Sunderwala Burj,Sunderwala Burj,Near HumayunΓÇÖs Tomb,South East,Delhi,Delhi Circle,DELDL069.JPG,DELDL069,DL069,28.59604733996573,77.24540858280044
15,11311,Sunderwala Mahal,Sunderwala Mahal,Near HumayunΓÇÖs Tomb,South East,Delhi,Delhi Circle,DELDL070.JPG,DELDL070,DL070,28.59610914500007,77.24653735600003
16,11312,"Tomb of Mirza Muzaffer,  Bara Batasha","Tomb of Mirza Muzaffer,  Bara Batasha",Nizamuddin,South East,Delhi,Delhi Circle,DELDL057.JPG,DELDL057,DL057,28.595797268000062,77.24900759000008
17,11313,"Tomb of Mirza Muzaffer, Chota Batasha","Tomb of Mirza Muzaffer, Chota Batasha",Nizamuddin,South East,Delhi,Delhi Circle,DELDL055.JPG,DELDL055,DL055,28.595968725000034,77.24972896800006
18,11314,Unknown tomb,Unknown tomb,Nizamuddin,South East,Delhi,Delhi Circle,DELDL059.JPG,DELDL059,DL059,28.59586063000006,77.25053550800004
19,12070,Tomb of Ghaziuddin Khan,Tomb of Ghaziuddin Khan,"Ajmeri Gate, Paharganj",Central,Delhi,Delhi Mini Circle,DLMDL047.jpg,DLMDL047,DLM047,28.645675847786883,77.22205219745415
20,12071,Delhi Gate,Delhi Gate,Daryaganj,Central,Delhi,Delhi Mini Circle,DLMDL019.jpg,DLMDL019,DLM019,28.641172234000067,77.24054897100007
21,12072,Ajmeri Gate,Ajmeri Gate,Bazar Ajmeri Gate,Central,Delhi,Delhi Mini Circle,DLMDL012.jpg,DLMDL012,DLM012,28.646248356471247,77.22398447241424
22,12073,Ashokan Pillar South of Hindu Rao Hospital,Ashokan Pillar South of Hindu Rao Hospital,On the ridge between Hindu Rao Hospital,North,Delhi,Delhi Mini Circle,DLMDL164.jpg,DLMDL164,DLM164,28.67385819800006,77.21184132100007
23,12074,The Old Entrance Gateway of the Garden,The Old Entrance Gateway of the Garden,Qudsia Delhi Opposite ISBT,North,Delhi,Delhi Mini Circle,DLMDL033.jpg,DLMDL033,DLM033,28.67086839800004,77.22859683400003
24,12075,Portion of City Wall near which Brigadier General Jhon Nicholson was mortally wounded on 14th Sept. 1857,Portion of City Wall near which Brigadier General Jhon Nicholson was mortally wounded on 14th Sept. 1857,Near Kashmieri Gate,North,Delhi,Delhi Mini Circle,DLMDL035.jpg,DLMDL035,DLM035,28.661238126000057,77.21847384000006
25,12076,Lal Bangla,Lal Bangla,Badarpur,South East,Delhi,Delhi Mini Circle,DLMDL004.jpg,DLMDL004,DLM004,28.600364087913754,77.23829927312913
26,12506,Dolmens in annavasal vattam,Dolmens in annavasal vattam,Sittannavasal,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN123.JPG,CHETN123C,CHE_123C,10.444829649641235,78.71778455783799
27,12507,Dolmens in annavasal vattam,Dolmens in annavasal vattam,Sittannavasal,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN123.JPG,CHETN123A,CHE_123A,10.44788079283137,78.71875220531369
28,12508,Prehistoric site,Prehistoric site,Karungulam,Turicorin,Tamil Nadu,Chennai Circle,CHETN155.JPG,CHETN155,CHE_154,8.628475551240697,77.87144709989397
29,12509,Hill Fort,Hill Fort,Krishnagiri,Krishnagiri,Tamil Nadu,Chennai Circle,CHETN179.JPG,CHETN179,CHE_179,12.538222572741446,78.21272445944835
30,12510,Rock-cut Vishnu shrine called Samanar Kudagu with structural moulded plinth in front,Rock-cut Vishnu shrine called Samanar Kudagu with structural moulded plinth in front,Narthamalai,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN277.JPG,CHETN277,CHE_278,10.505147770766825,78.75633619437586
31,12511,Amman Kovil,Amman Kovil,Narthamalai,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN275.JPG,CHETN275,CHE_275,10.513096840830812,78.7672453170405
32,12512,Rock-cut Siva Temple called Paliyili Iswaran with structuralmoulded plinth in front,Rock-cut Siva Temple called Paliyili Iswaran with structuralmoulded plinth in front,Narthamalai,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN276.JPG,CHETN276,CHE_275,10.513479363957359,78.767462151896
33,12488,Megalithic cists and cairns,Megalithic cists and cairns,Pondavakkam,Tiruvallur,Tamil Nadu,Chennai Circle,CHETN139.JPG,CHETN139,CHE_139,13.48059360200007,80.00080607900009
34,12513,"Jain idol, two Durga idols, one Vishnu idol and inscribed stone slab","Jain idol, two Durga idols, one Vishnu idol and inscribed stone slab",Nanjur,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN274.JPG,CHETN274,CHE_274,10.579191306781766,78.80643967805152
35,12514,(1) Jain Tirthankara image in Sighasana posture lying in bas-relief on a slab(2) Remains of the temple(3)Ganesa image; and(4) Nandi with inscriptions on the basement and the surrounding portions in the Karuppar hill,(1) Jain Tirthankara image in Sighasana posture lying in bas-relief on a slab(2) Remains of the temple(3)Ganesa image; and(4) Nandi with inscriptions on the basement and the surrounding portions in the Karuppar hill,Mylappatti,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN272.JPG,CHETN272,CHE_272,10.384556140087724,78.75171538853354
36,12515,Jain Tirthankara image,Jain Tirthankara image,Puliyur,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN282.JPG,CHETN282,CHE_282,10.639976226444688,78.81397585438764
37,12516,Jain image and the surrounding Temple site locally called Mottai Pillaiyarkoil,Jain image and the surrounding Temple site locally called Mottai Pillaiyarkoil,Puttambur,Pudukkottai,Tamil Nadu,Chennai Circle,CHETN321.JPG,CHETN321,CHE_321,10.469676242120642,78.84084929520502
38,12517,Rock cut Pallava Temple,Rock cut Pallava Temple,Dalavanur,Villupuram,Tamil Nadu,Chennai Circle,CHETN360.JPG,CHETN360,CHE_360,12.167688389930007,79.46825872966362
39,12518,Fort and Temples on the hill,Fort and Temples on the hill,Chinnakavandanur,Salem,Tamil Nadu,Chennai Circle,CHETN372.JPG,CHETN372,CHE_372,11.479600120832771,77.85795827793214
40,12519,Prehistoric settlement site-megalithic period,Prehistoric settlement site-megalithic period,Pulal,Tiruvallur,Tamil Nadu,Chennai Circle,CHETN141.JPG,CHETN141,CHE_141,13.162683283563723,80.19894289748645
41,12520,Megalithic cists and cairns,Megalithic cists and cairns,Sembakkam,Kanchipuram,Tamil Nadu,Chennai Circle,CHETN074.JPG,CHETN074,CHE_074,12.92947133721259,80.16590873140638
42,12521,Two Unfinished Excavations Near The Light House,Two Unfinished Excavations Near The Light House,Mamallapuram,Kanchipuram,Tamil Nadu,Chennai Circle,CHETN225.JPG,CHETN225,CHE_193,12.617125231500026,80.19167339247218
43,12522,Adjoining Building to the masjid and two ponds,Adjoining Building to the masjid and two ponds,Arcot,Vellore,Tamil Nadu,Chennai Circle,CHETN334.JPG,CHETN334,CHE_334,12.90100829879755,79.33536673652559
44,12523,Small Monolithic Temples known as Valiankuttai Ratha (unfinished),Small Monolithic Temples known as Valiankuttai Ratha (unfinished),Mamallapuram,Kanchipuram,Tamil Nadu,Chennai Circle,CHETN217.JPG,CHETN217,CHE_217,12.62023329300007,80.18762023700003
