monumentna,,state,lat,long,coordinate,asicircle,district
Shikargah Kusak,,Delhi,28.60332338,77.19815093,"28.60332338,28.58132962",Delhi Mini Circle,New Delhi
Unknown Tomb in the vicinitty of Jawahar Lal Nehru Stadium,,Delhi,28.58132962,77.23130927,"28.58132962,28.62747328",Delhi Mini Circle,South
Jantar Mantar,,Delhi,28.62747328,77.21670118,"28.62747328,28.59330612",Delhi Mini Circle,New Delhi
"Humayun's tomb, its platforms",,Delhi,28.59330612,77.25072555,"28.59330612,28.59246346",Delhi Circle,South East
"Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No",,Delhi,28.59246346,77.24711791,"28.59246346,28.56500694",Delhi Circle,South East
"Unnamed tomb, Mohammad Pur Village",,Delhi,28.56500694,77.18788421,"28.56500694,28.58803889",Delhi Circle,South
Tomb of Khan-i-Khana,,Delhi,28.58803889,77.2479284,"28.58803889,28.53158837",Delhi Circle,South East
Sat pula,,Delhi,28.53158837,77.22323366,"28.53158837,28.50506244",Delhi Circle,South
"Walls, gate and bastions of Adilabad (Mohammadabad) and causeway leading there to from Tughlakabad.",,Delhi,28.50506244,77.26732372,"28.50506244,28.57231921",Delhi Circle,South East
Mosque attached to Mubarak shah Tomb,,Delhi,28.57231921,77.22225163,"28.57231921,28.55339001",Delhi Circle,South
Sakri Gumti-284,,Delhi,28.55339001,77.2013517,"28.55339001,28.5726724",Delhi Circle,South
"Tomb of Mubarik Shah in Mubarikpur, Kotla",,Delhi,28.5726724,77.22297781,"28.5726724,28.66057157",Delhi Circle,South
"Salimgarh Fort, comprising the main gate on North, Ancient structure near the main gate and the entire fortification wall",,Delhi,28.66057157,77.24338998,"28.66057157,28.59795616",Delhi Circle,Central
Lakhar wala Gumbad (Tomb),,Delhi,28.59795616,77.24395766,"28.59795616,28.59604734",Delhi Circle,South East
Sunderwala Burj,,Delhi,28.59604734,77.24540858,"28.59604734,28.59610915",Delhi Circle,South East
Sunderwala Mahal,,Delhi,28.59610915,77.24653736,"28.59610915,28.59579727",Delhi Circle,South East
"Tomb of Mirza Muzaffer,  Bara Batasha",,Delhi,28.59579727,77.24900759,"28.59579727,28.59596873",Delhi Circle,South East
"Tomb of Mirza Muzaffer, Chota Batasha",,Delhi,28.59596873,77.24972897,"28.59596873,28.59586063",Delhi Circle,South East
Unknown tomb,,Delhi,28.59586063,77.25053551,"28.59586063,28.64567585",Delhi Circle,South East
Tomb of Ghaziuddin Khan,,Delhi,28.64567585,77.2220522,"28.64567585,28.64117223",Delhi Mini Circle,Central
Delhi Gate,,Delhi,28.64117223,77.24054897,"28.64117223,28.64624836",Delhi Mini Circle,Central
Ajmeri Gate,,Delhi,28.64624836,77.22398447,"28.64624836,28.6738582",Delhi Mini Circle,Central
Ashokan Pillar South of Hindu Rao Hospital,,Delhi,28.6738582,77.21184132,"28.6738582,28.6708684",Delhi Mini Circle,North
The Old Entrance Gateway of the Garden,,Delhi,28.6708684,77.22859683,"28.6708684,28.66123813",Delhi Mini Circle,North
Portion of City Wall near which Brigadier General Jhon Nicholson was mortally wounded on 14th Sept. 1857,,Delhi,28.66123813,77.21847384,"28.66123813,28.60036409",Delhi Mini Circle,North
Lal Bangla,,Delhi,28.60036409,77.23829927,"28.60036409,10.44482965",Delhi Mini Circle,South East
Dolmens in annavasal vattam,,Tamil Nadu,10.44482965,78.71778456,"10.44482965,10.44788079",Chennai Circle,Pudukkottai
Dolmens in annavasal vattam,,Tamil Nadu,10.44788079,78.71875221,"10.44788079,8.628475551",Chennai Circle,Pudukkottai
Prehistoric site,,Tamil Nadu,8.628475551,77.8714471,"8.628475551,12.53822257",Chennai Circle,Turicorin
Hill Fort,,Tamil Nadu,12.53822257,78.21272446,"12.53822257,10.50514777",Chennai Circle,Krishnagiri
Rock-cut Vishnu shrine called Samanar Kudagu with structural moulded plinth in front,,Tamil Nadu,10.50514777,78.75633619,"10.50514777,10.51309684",Chennai Circle,Pudukkottai
Amman Kovil,,Tamil Nadu,10.51309684,78.76724532,"10.51309684,10.51347936",Chennai Circle,Pudukkottai
Rock-cut Siva Temple called Paliyili Iswaran with structuralmoulded plinth in front,,Tamil Nadu,10.51347936,78.76746215,"10.51347936,13.4805936",Chennai Circle,Pudukkottai
Megalithic cists and cairns,,Tamil Nadu,13.4805936,80.00080608,"13.4805936,10.57919131",Chennai Circle,Tiruvallur
"Jain idol, two Durga idols, one Vishnu idol and inscribed stone slab",,Tamil Nadu,10.57919131,78.80643968,"10.57919131,10.38455614",Chennai Circle,Pudukkottai
(1) Jain Tirthankara image in Sighasana posture lying in bas-relief on a slab(2) Remains of the temple(3)Ganesa image; and(4) Nandi with inscriptions on the basement and the surrounding portions in the Karuppar hill,,Tamil Nadu,10.38455614,78.75171539,"10.38455614,10.63997623",Chennai Circle,Pudukkottai
Jain Tirthankara image,,Tamil Nadu,10.63997623,78.81397585,"10.63997623,10.46967624",Chennai Circle,Pudukkottai
Jain image and the surrounding Temple site locally called Mottai Pillaiyarkoil,,Tamil Nadu,10.46967624,78.8408493,"10.46967624,12.16768839",Chennai Circle,Pudukkottai
Rock cut Pallava Temple,,Tamil Nadu,12.16768839,79.46825873,"12.16768839,11.47960012",Chennai Circle,Villupuram
Fort and Temples on the hill,,Tamil Nadu,11.47960012,77.85795828,"11.47960012,13.16268328",Chennai Circle,Salem
Prehistoric settlement site-megalithic period,,Tamil Nadu,13.16268328,80.1989429,"13.16268328,12.92947134",Chennai Circle,Tiruvallur
Megalithic cists and cairns,,Tamil Nadu,12.92947134,80.16590873,"12.92947134,12.61712523",Chennai Circle,Kanchipuram
Two Unfinished Excavations Near The Light House,,Tamil Nadu,12.61712523,80.19167339,"12.61712523,12.9010083",Chennai Circle,Kanchipuram
Adjoining Building to the masjid and two ponds,,Tamil Nadu,12.9010083,79.33536674,"12.9010083,12.62023329",Chennai Circle,Vellore
Small Monolithic Temples known as Valiankuttai Ratha (unfinished),,Tamil Nadu,12.62023329,80.18762024,"12.62023329,12.61963606",Chennai Circle,Kanchipuram
Two small monolithic Temples known as the Pidari Amman Ratha (unfinished),,Tamil Nadu,12.61963606,80.18762137,"12.61963606,11.60248376",Chennai Circle,Kanchipuram
